candidate_id,candidate_type,target_mode,members,use_target_encoding,te_smoothing,fold_mape_mean,fold_mape_std,mape,r2,rmse,mae,prediction_min,prediction_max,prediction_mean,prediction_std,prediction_range_check,eligible_for_final,decision_score
HGB_TE_LOG_D7_LR022_L2_08_SQRT_S30,hgb_single_te,log,HGB_TE_LOG_D7_LR022_L2_08_SQRT_S30,True,30.0,0.11110809165147233,0.0006932586526107975,0.11110809165147234,0.956102084133042,0.1036754884885075,0.04009841020384953,0.025427744645270887,4.974976654173266,0.31972820985585565,0.39463819487291235,True,True,0.10667421055711253
HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_2026,hgb_single,log,HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_2026,False,,0.11098533323096167,0.0011117630535711202,0.11098533323096166,0.9541943123864425,0.10590436069175771,0.04085010205956553,0.024866445660468216,5.039855282715105,0.3182980495475338,0.3888005876010255,True,True,0.106770243195815
HGB_TE_LOG_D6_LR030_L2_04_SQRT_S25,hgb_single_te,log,HGB_TE_LOG_D6_LR030_L2_04_SQRT_S25,True,25.0,0.11112531822289955,0.0008640804496132586,0.11112531822289956,0.9542073696325298,0.10588926520983112,0.04035894241136285,0.0245722843065126,5.001501664925452,0.31940548389654355,0.3929158120558276,True,True,0.10678632159954354
HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_7,hgb_single,log,HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_7,False,,0.11066348693848287,0.0020511011603358002,0.11066348693848288,0.9526662419109341,0.1076563454164673,0.04064740084965174,0.025584300731898584,4.7517548857657035,0.3182215366370332,0.3865569145509139,True,True,0.1069257063090961
HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_42,hgb_single,log,HGB_LOCAL_LOG_D6_LR028_L2_04_SQRT_SEED_42,False,,0.11064453164866823,0.002316618573686507,0.11064453164866826,0.9526169254500171,0.10771241372775374,0.04072974100662028,0.024166967076768638,4.867110293209889,0.3191421273854174,0.3913941374532418,True,True,0.10703975630826143
HGB_POISSON_RAW_D6_LR030_L2_04_SQRT_WEIGHTED,hgb_single,raw,HGB_POISSON_RAW_D6_LR030_L2_04_SQRT_WEIGHTED,False,,0.11093796153364036,0.0017967778551640987,0.11093796153364036,0.9581771080995156,0.10119549266966976,0.039832218392754214,0.025990726153511383,5.353044048496334,0.3239956227795925,0.40425591537543726,True,True,0.10704546492072484
HGB_LOCAL_LOG_D7_LR021_L2_075_SQRT_SEED_42,hgb_single,log,HGB_LOCAL_LOG_D7_LR021_L2_075_SQRT_SEED_42,False,,0.11046553760118935,0.0027677416446687947,0.11046553760118936,0.9576545726175709,0.10182569889984536,0.039718505857027755,0.026527484264203656,4.8511655485333645,0.32016549481833045,0.3932344728325775,True,True,0.1070611355604359
HGB_LOCAL_TE_LOG_D6_LR027_L2_045_SQRT_S30_SEED_100,hgb_single_te,log,HGB_LOCAL_TE_LOG_D6_LR027_L2_045_SQRT_S30_SEED_100,True,30.0,0.11100311370045182,0.0018902608794848176,0.11100311370045182,0.9549382748380012,0.10504080626234806,0.04053787348474884,0.025168216062343006,4.863460256338959,0.3188233890558813,0.3901559560799239,True,True,0.10717355276600422
HGB_TE_LOG_D7_LR018_L2_12_SOFT_S40,hgb_single_te,log,HGB_TE_LOG_D7_LR018_L2_12_SOFT_S40,True,40.0,0.11138705844393626,0.0011838455313327944,0.11138705844393626,0.9564643113524613,0.10324685908092458,0.039841934472838375,0.025135416233431594,4.912160086680592,0.32046556704607027,0.39561956145583815,True,True,0.10719665965284035
HGB_LOCAL_TE_LOG_D6_LR027_L2_045_SQRT_S30_SEED_21,hgb_single_te,log,HGB_LOCAL_TE_LOG_D6_LR027_L2_045_SQRT_S30_SEED_21,True,30.0,0.11174420048389866,0.0013242857646172728,0.11174420048389866,0.9541033704500173,0.10600943904003354,0.040948344026715114,0.024861936802260218,5.206065569689357,0.3190415449726827,0.3934121681816311,True,True,0.1076358265139572
HGB_LOCAL_TE_LOG_D6_LR027_L2_045_SQRT_S30_SEED_42,hgb_single_te,log,HGB_LOCAL_TE_LOG_D6_LR027_L2_045_SQRT_S30_SEED_42,True,30.0,0.11212671173270213,0.0008056103118302941,0.11212671173270211,0.9541702131023252,0.10593221622461245,0.0407310664242339,0.025019449237493257,5.0449741963983605,0.3185185235838751,0.39184453876440656,True,True,0.10775866582310563
HGB_LOG_D7_LR020_L2_08_SQRT_WEIGHTED,hgb_single,log,HGB_LOG_D7_LR020_L2_08_SQRT_WEIGHTED,False,,0.1112755148245925,0.002560008686105825,0.11127551482459251,0.9564110566387232,0.10330998776522037,0.040296089325531574,0.02612966454263853,4.850713326529303,0.3197676303302642,0.390793328117802,True,True,0.1077734638844518
HGB_LOG_D6_LR035_L2_03_SQRT_WEIGHTED,hgb_single,log,HGB_LOG_D6_LR035_L2_03_SQRT_WEIGHTED,False,,0.11234965038816633,0.001750640182960964,0.11234965038816631,0.949351599954238,0.11136199558305533,0.04179145670918254,0.025621374796332474,4.888205716836654,0.3178251416442055,0.38664376137747414,True,True,0.10847821247987562
HGB_LOG_D6_LR025_L2_05_SQRT_WEIGHTED,hgb_single,log,HGB_LOG_D6_LR025_L2_05_SQRT_WEIGHTED,False,,0.11205250839233112,0.0023739112629465853,0.11205250839233112,0.9509152349888904,0.1096295161861441,0.04127269997128406,0.025073256182948513,4.839833734259354,0.3188814067229462,0.3899756733213169,True,True,0.10848488784885996
HGB_LOG_D6_LR030_L2_02_MAPE_WEIGHTED,hgb_single,log,HGB_LOG_D6_LR030_L2_02_MAPE_WEIGHTED,False,,0.1132226560471306,0.0018058732266411585,0.11322265604713061,0.9439675553856259,0.1171315592578137,0.043421738558863575,0.02426684081878972,4.593401993584162,0.31666861016769987,0.3828035566952729,True,True,0.10940575488352307
HGB_LOG1P_D6_LR030_L2_04_SQRT_WEIGHTED,hgb_single,log1p,HGB_LOG1P_D6_LR030_L2_04_SQRT_WEIGHTED,False,,0.12135938787410058,0.002020066499477048,0.1213593878741006,0.9535072958118449,0.10669560809388422,0.04159847688365569,0.024575862980810166,5.152712245294334,0.3323326809128681,0.4041032062942772,True,True,0.1176018846447799
